Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3522109;Interior;Itanhaém;6020;278;;;
3522158;Interior;Itaoca;263;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;7772;436;;;
3522307;Interior;Itapetininga;16554;524;;;
3522406;Interior;Itapeva;9168;408;;;
3522505;RMSP (exceto capital);Itapevi;11833;655;;;
3522604;Interior;Itapira;8387;276;;;
3522653;Interior;Itapirapuã Paulista;541;2;;;
3522703;Interior;Itápolis;5535;159;;;
3522802;Interior;Itaporanga;1325;50;;;
3522901;Interior;Itapuí;1344;38;;;
3523008;Interior;Itapura;284;12;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;18213;908;;;
3523206;Interior;Itararé;5959;232;;;
3523305;Interior;Itariri;1300;40;;;
3523404;Interior;Itatiba;11047;150;;;
3523503;Interior;Itatinga;2742;48;;;
3523602;Interior;Itirapina;1452;33;;;
3523701;Interior;Itirapuã;278;5;;;
3523800;Interior;Itobi;581;9;;;
3523909;Interior;Itu;20818;397;;;
3524006;Interior;Itupeva;6169;130;;;
3524105;Interior;Ituverava;1949;123;;;
3524204;Interior;Jaborandi;545;19;;;
3524303;Interior;Jaboticabal;7028;115;;;
3524402;Interior;Jacareí;23501;688;;;
3524501;Interior;Jaci;1166;24;;;
3524600;Interior;Jacupiranga;1532;48;;;
3524709;Interior;Jaguariúna;5666;104;;;
3524808;Interior;Jales;6227;231;;;
3524907;Interior;Jambeiro;394;11;;;
3525003;RMSP (exceto capital);Jandira;7295;290;;;
3525102;Interior;Jardinópolis;3892;132;;;
3525201;Interior;Jarinu;2728;64;;;
3525300;Interior;Jaú;9405;511;;;
3525409;Interior;Jeriquara;284;2;;;
3525508;Interior;Joanópolis;1118;7;;;
3525607;Interior;João Ramalho;627;13;;;
3525706;Interior;José Bonifácio;5487;139;;;
3525805;Interior;Júlio Mesquita;256;14;;;
3525854;Interior;Jumirim;532;7;;;
3525904;Interior;Jundiaí;48103;1473;;;
3526001;Interior;Junqueirópolis;1730;85;;;
3526100;Interior;Juquiá;1748;57;;;
3526209;RMSP (exceto capital);Juquitiba;1750;69;;;
3526308;Interior;Lagoinha;221;8;;;
3526407;Interior;Laranjal Paulista;4246;113;;;
3526506;Interior;Lavínia;910;16;;;
3526605;Interior;Lavrinhas;307;4;;;
3526704;Interior;Leme;12313;397;;;
3526803;Interior;Lençóis Paulista;11697;176;;;
3526902;Interior;Limeira;16588;818;;;
3527009;Interior;Lindóia;793;17;;;
3527108;Interior;Lins;8582;277;;;
3527207;Interior;Lorena;4900;117;;;
3527256;Interior;Lourdes;272;5;;;
3527306;Interior;Louveira;4822;98;;;
3527405;Interior;Lucélia;1755;57;;;
3527504;Interior;Lucianópolis;202;4;;;
